$Sample,$Threshold,
multips_lib_013_2010_2L_6_5mu_mono26keV_BB_rotated_cropped,131,
multips_lib_013_2010_2M_6_5mu_BB_rotated_cropped,131,
multips_lib_013_2010_2M_6_5mu_pink26keV_xc200RC_BB_rotated_cropped,131,
multips_lib_024_2011_2L_6_5mu_mono26keV_BB_rotated_cropped,131,
multips_lib_024_2011_2M_6_5mu_pink26keV_xc200RC_BB_rotated_cropped,131,
multips_lib_056_2010_2L_6_5mu_mono26keV_BB_rotated_cropped,131,
multips_lib_056_2010_2M_6_5mu_pink26keV_xc200RC_BB_rotated_cropped,131,
multips_lib_067_2010_2L_6_5mu_mono26keV_BB_rotated_cropped,131,
multips_lib_067_2010_2M_6_5mu_pink26keV_xc200RC_BB_rotated_cropped,131,
multips_lib_121_2010_2L_6_5mu_mono26keV_BB_rotated_cropped,131,
multips_lib_121_2010_2M_6_5mu_pink26keV_xc200RC_BB_rotated_cropped,131,
multips_lib_138_2011_2L_6_5mu_pink26keV_xc200RC_BB_rotated_cropped,131,
multips_lib_138_2011_2M_6_5mu_pink26keV_xc200RC_BB_rotated_cropped,131,
multips_lib_138_2015_2L_6_5mu_mono26keV_BB_rotated_cropped,131,
multips_lib_138_2015_2M_6_5mu_pink26keV_xc200RC_BB_rotated_cropped,131,
multips_lib_154_2012_2L_6_5mu_mono26keV_BB_rotated_cropped,131,
multips_lib_154_2012_2M_6_5mu_pink26keV_xc200RC_BB_rotated_cropped,131,
multips_lib_161_2012_2L_6_5mu_mono26keV_BB_rotated_cropped,131,
multips_lib_161_2012_2M_6_5mu_pink26keV_xc200RC_BB_rotated_cropped,131,
multips_lib_166_2012_2L_6_5mu_mono26keV_BB_rotated_cropped,131,
multips_lib_166_2012_2M_6_5mu_pink26keV_xc200RC_BB_rotated_cropped,131,
multips_lib_203_2012_2L_6_5mu_mono26keV_BB_rotated_cropped,131,
multips_lib_203_2012_2M_6_5mu_pink26keV_xc200RC_BB_rotated_cropped,131,
multips_lib_204_2012_2L_6_5mu_mono26keV_BB_rotated_cropped,131,
multips_lib_204_2012_2M_6_5mu_pink26keV_xc200RC_BB_rotated_cropped,131,
multips_lib_206_2010_2L_6_5mu_mono26keV_BB_rotated_cropped,131,
multips_lib_206_2010_2M_6_5mu_pink26keV_xc200RC_BB_rotated_cropped,131,
multips_lib_211_2010_2L_6_5mu_mono26keV_BB_rotated_cropped,131,
multips_lib_211_2010_2M_6_5mu_pink26keV_xc200RC_BB_rotated_cropped,131,
multips_lib_213_2009_2L_6_5mu_BB_rotated_cropped,131,
multips_lib_213_2009_2M_6_5mu_BB_rotated_cropped,131,
multips_lib_213_2009_2M_6_5mu_pink26keV_xc200RC_BB_rotated_cropped,131,
multips_lib_214_2009_2L_6_5mu_pink26keV_xc200RC_BB_rotated_cropped,131,
multips_lib_214_2009_2M_6_5mu_pink26keV_xc200RC_BB_rotated_cropped,131,
multips_lib_215_2009_2L_6_5mu_mono26keV_BB_rotated_cropped,131,
multips_lib_215_2009_2M_6_5mu_pink26keV_xc200RC_BB_rotated_cropped,131,
multips_lib_222_2009_2L_6_5mu_mono26keV_BB_rotated_cropped,131,
multips_lib_222_2009_2M_6_5mu_pink26keV_xc200RC_BB_rotated_cropped,131,
multips_lib_229_2009_2L_6_5mu_mono26keV_BB_rotated_cropped,131,
multips_lib_229_2009_2M_6_5mu_pink26keV_xc200_rotated_cropped,131,
multips_lib_230_2009_2L_6_5mu_mono26keV_BB_rotated_cropped,131,
multips_lib_230_2009_2M_6_5mu_pink26keV_xc200RC_BB_rotated_cropped,131,
multips_lib_232_2009_2L_6_5mu_mono26keV_BB_rotated_cropped,131,
multips_lib_232_2009_2M_6_5mu_pink26keV_xc200RC_BB_rotated_cropped,131,
multips_lib_234_2010_2L_6_5mu_mono26keV_BB_rotated_cropped,131,
multips_lib_234_2010_2M_6_5mu_pink26keV_xc200RC_BB_rotated_cropped,131,
multips_lib_239_2010_2L_6_5mu_mono26keV_BB_rotated_cropped,131,
multips_lib_239_2010_2M_6_5mu_pink26keV_xc200RC_BB_rotated_cropped,131,
multips_lib_240_2010_2L_6_5mu_mono26keV_BB_rotated_cropped,131,
multips_lib_240_2010_2M_6_5mu_pink26keV_xc200RC_BB_rotated_cropped,131,
multips_lib_244_2010_2L_6_5mu_mono26keV_BB_rotated_cropped,131,
multips_lib_244_2010_2M_6_5mu_pink26keV_xc200RC_BB_rotated_cropped,131,
multips_lib_245_2010_2L_6_5mu_mono26keV_BB_rotated_cropped,131,
multips_lib_245_2010_2M_6_5mu_pink26keV_xc200RC_BB_rotated_cropped,131,
multips_lib_246_2010_2L_6_5mu_pink26keV_xc200RC_BB_rotated_cropped,131,
multips_lib_250_2010_2L_6_5mu_mono26keV_BB_rotated_cropped,131,
multips_lib_250_2010_2M_6_5mu_pink26keV_xc200RC_BB_rotated_cropped,131,
multips_lib_90_2012_2L_6_5mu_mono26keV_BB_rotated_cropped,131,
multips_lib_90_2012_2M_6_5mu_pink26keV_xc200RC_BB_rotated_cropped,131,
